label,text
positif,"Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Kita pasti pernah Dapatkan cobaan"
positif,"Kita mesti telanjang dan benar-benar bersih Suci lahir dan di dalam batin Tengoklah ke dalam sebelum bicara"
positif,"Meski derita tak henti menerpa Badai kehidupan yang datang menerjang Ku takkan henti bertahan"
positif,"Dulu kita sahabat, teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat, berteman bagai ulat"
positif,"buka kita buka hari yang barusebagai semangat langkah ke depanjadi pribadi barubuka kita buka jalan yang barutebarkan senyum wajah gembiradamai suasana barubukalah bukalah semangat barubukalah bukalah semangat barubukalah bukalah semangat baru"
positif,"Setidaknya punya tujuh puluh tahun Tak bisa melompat kumahir berenang Bahagia melihat kawanan betina"
negatif,"Pandangan pertama awal aku berjumpa pandangan pertama awal aku berjumpa seolah olah hanya impian yang berlalu"
negatif,"Satu jam saja ku sayang jantungku deg-deganWaktu kamu peluk dirikuAku sayang badanku gemetaran"
negatif,"otakmu sexy itu terbukti dari caramu memikirkan aku matamu sexy itu terbukti dari caramu menatap aku"
negatif,"Digeboy geboy mujair Nang-ning-nong, nang-ning-nong Pak guli pak, bang dung ding ser Mustopa jadi nggak kuat Mustopa tergila-gila Mustopa jatuh cinta Sama seorang biduan Digeboy geboy mujair Nang-ning-nong"
negatif,"Kemarin engkau masih ada di sini Bersamaku menikmati rasa ini Berharap semua takkan pernah berakhir Bersamamu bersamamu"
negatif,"Kau kan selalu tersimpan di hatikuMeski ragamu tak dapat ku miliki Jiwaku kan selalu bersamamu"
